input_g1 input_g2 meas_g1_mod meas_g1_mod_err meas_g1_mod_err_err meas_g2_mod meas_g2_mod_err meas_g2_mod_err_err n_pairs mag
-0.1 -0.095 -0.10482045504087875 0.0005205213480677872 1.0675642234441982e-05 0.00047450425021925753 0.0007022683275675764 8.54630068756025e-06 634304.0 21.5
-0.1 -0.095 -0.10367346352221037 0.00033763970614061726 7.855373509561052e-06 0.00047450425021925753 0.0007073630440247667 1.6281456900957504e-05 634304.0 22.5
-0.1 -0.095 -0.10286140585169203 0.000251297042790474 5.5173465113198315e-06 0.00047450425021925753 0.0007238173506369685 1.2822022922841145e-05 634304.0 23.5
-0.1 -0.095 -0.09822304945045478 0.00024077154546109497 3.644670683367028e-06 0.00047450425021925753 0.0007318028769137321 1.3397948933386386e-05 634304.0 24.5
-0.1 -0.095 -0.10074816208229673 0.00015161674769149312 4.1902979653536605e-06 0.00047450425021925753 0.000703436562599889 1.7143193659777808e-05 634304.0 24.5
-0.08947368421052632 -0.085 -0.09215559692049907 0.0004997688376351893 1.216858225964679e-05 0.002905765033059211 0.002541623769931056 5.5939051310196395e-05 633800.0 21.5
-0.08947368421052632 -0.085 -0.0915953663886879 0.00033657063402819264 7.094376435678261e-06 0.002905765033059211 0.0025599870930351825 8.016504593270465e-05 633800.0 22.5
-0.08947368421052632 -0.085 -0.09164807546057456 0.0002469409043308851 4.777247326980852e-06 0.002905765033059211 0.0025803148702806494 3.2814243224340396e-05 633800.0 23.5
-0.08947368421052632 -0.085 -0.08733354990364343 0.00024002824711180385 5.05604845224981e-06 0.002905765033059211 0.0025226781741878143 4.3561176881151583e-05 633800.0 24.5
-0.08947368421052632 -0.085 -0.08952904339426226 0.00015245310476687092 4.100088874294714e-06 0.002905765033059211 0.002571145920536705 8.788909848080843e-05 633800.0 24.5
-0.07894736842105264 -0.075 -0.08155350133351566 0.0004701192115536491 1.3239129660098023e-05 -0.0022821231150433156 0.0014671003243079998 3.91527675595608e-05 633932.0 21.5
-0.07894736842105264 -0.075 -0.08049128124006846 0.0003178520150574553 6.221519629957409e-06 -0.0022821231150433156 0.0014116929920138007 4.4871711271132356e-05 633932.0 22.5
-0.07894736842105264 -0.075 -0.08108067561322048 0.0002339036466446898 3.5139446083224243e-06 -0.0022821231150433156 0.0014664546142221868 2.5099556402561145e-05 633932.0 23.5
-0.07894736842105264 -0.075 -0.07705557617104744 0.00023581702887945653 4.1316594178343065e-06 -0.0022821231150433156 0.0014957938990571534 2.018062836206688e-05 633932.0 24.5
-0.07894736842105264 -0.075 -0.07902746951430431 0.0001504629765556189 2.733053265854883e-06 -0.0022821231150433156 0.0015117503026395832 3.58601177934364e-05 633932.0 24.5
