both	 4000	 5300	 2	 0.0583844	 0.0035009	 0.0016679	 0.0002336	 987600	 20.5	 0.0000581	 0.0000044
none	 4000	 5300	 2	 0.0383398	 0.0355695	 -0.0020286	 0.0020506	 405900	 21.5	 0.0006458	 0.0000373
shape	 4000	 5300	 2	 0.0438403	 0.0054016	 -0.0025393	 0.0003869	 811800	 21.5	 0.0001050	 0.0000073
both	 4000	 5300	 2	 0.0251773	 0.0058714	 -0.0000164	 0.0001768	 987600	 21.5	 0.0001122	 0.0000039
none	 4000	 5300	 2	 0.0605764	 0.0194114	 -0.0014974	 0.0011224	 405900	 22.5	 0.0003190	 0.0000187
shape	 4000	 5300	 2	 -0.0020535	 0.0061875	 0.0008675	 0.0002069	 811800	 22.5	 0.0001148	 0.0000030
both	 4000	 5300	 2	 0.0367924	 0.0017812	 0.0007147	 0.0001327	 987600	 22.5	 0.0000330	 0.0000024
none	 4000	 5300	 2	 -0.0206137	 0.0096243	 0.0003716	 0.0005955	 405900	 23.5	 0.0001655	 0.0000111
shape	 4000	 5300	 2	 -0.0437241	 0.0058322	 0.0010541	 0.0003213	 811800	 23.5	 0.0001295	 0.0000069
both	 4000	 5300	 2	 -0.0369232	 0.0019097	 0.0010450	 0.0001331	 987600	 23.5	 0.0000353	 0.0000025
none	 4000	 5300	 2	 -0.1385926	 0.0310625	 -0.0016906	 0.0017964	 405900	 24.5	 0.0006179	 0.0000381
shape	 4000	 5300	 2	 -0.2928671	 0.0067445	 -0.0036358	 0.0005920	 811800	 24.5	 0.0001391	 0.0000122
both	 4000	 5300	 2	 -0.1785457	 0.0088418	 0.0027683	 0.0005173	 987600	 24.5	 0.0001465	 0.0000090
none	 4000	 5300	 2	 1.0000000	 inf	 1.0000000	 inf	 405900	 25.5	 nan	 nan
shape	 4000	 5300	 2	 0.1709374	 0.2041237	 -0.0232428	 0.0138911	 811800	 25.5	 0.0042435	 0.0002914
both	 4000	 5300	 2	 -0.8743670	 0.1064360	 -0.2123814	 0.0066977	 987600	 25.5	 0.0018945	 0.0001074
none	 4000	 5300	 2	 -0.0353723	 0.0091130	 -0.0028548	 0.0004594	 405900	 26.5	 0.0001574	 0.0000090
shape	 4000	 5300	 2	 -0.0150200	 0.0017906	 0.0010035	 0.0001720	 811800	 26.5	 0.0000366	 0.0000034
both	 4000	 5300	 2	 -0.0161061	 0.0017016	 0.0006619	 0.0000982	 987600	 26.5	 0.0000308	 0.0000017
none	 4000	 5300	 3	 0.2499364	 0.0475258	 0.0119503	 0.0025220	 541200	 20.5	 0.0010823	 0.0000480
shape	 4000	 5300	 3	 0.0430850	 0.0071403	 0.0015821	 0.0005152	 1082400	 20.5	 0.0001587	 0.0000120
both	 4000	 5300	 3	 0.0466039	 0.0057988	 0.0013780	 0.0003586	 1316800	 20.5	 0.0001123	 0.0000074
none	 4000	 5300	 3	 0.0044974	 0.0330895	 0.0029643	 0.0018755	 541200	 21.5	 0.0006203	 0.0000354
shape	 4000	 5300	 3	 0.0515419	 0.0066766	 -0.0007169	 0.0004086	 1082400	 21.5	 0.0001581	 0.0000096
both	 4000	 5300	 3	 0.0190422	 0.0050698	 0.0006898	 0.0002058	 1316800	 21.5	 0.0000952	 0.0000036
none	 4000	 5300	 3	 0.0473015	 0.0209562	 0.0001102	 0.0011226	 541200	 22.5	 0.0004251	 0.0000225
shape	 4000	 5300	 3	 0.0214324	 0.0063409	 0.0014050	 0.0003290	 1082400	 22.5	 0.0001176	 0.0000065
both	 4000	 5300	 3	 0.0300257	 0.0034495	 0.0011508	 0.0001959	 1316800	 22.5	 0.0000738	 0.0000045
none	 4000	 5300	 3	 -0.0409222	 0.0145375	 -0.0012974	 0.0007021	 541200	 23.5	 0.0002851	 0.0000136
shape	 4000	 5300	 3	 -0.0197661	 0.0078445	 0.0000003	 0.0004322	 1082400	 23.5	 0.0001479	 0.0000084
both	 4000	 5300	 3	 -0.0431411	 0.0024752	 0.0001812	 0.0001748	 1316800	 23.5	 0.0000460	 0.0000033
none	 4000	 5300	 3	 -0.1900444	 0.0303819	 -0.0016529	 0.0015665	 541200	 24.5	 0.0005475	 0.0000294
shape	 4000	 5300	 3	 -0.2255389	 0.0144659	 -0.0021927	 0.0009212	 1082400	 24.5	 0.0002626	 0.0000180
both	 4000	 5300	 3	 -0.1760402	 0.0105845	 0.0021581	 0.0006148	 1316800	 24.5	 0.0002053	 0.0000118
none	 4000	 5300	 3	 1.0000000	 inf	 1.0000000	 inf	 541200	 25.5	 nan	 nan
shape	 4000	 5300	 3	 1.0443603	 0.3786582	 -0.1830049	 0.0202434	 1082400	 25.5	 0.0083719	 0.0004171
both	 4000	 5300	 3	 -0.2268037	 0.1618328	 -0.2976154	 0.0121195	 1316800	 25.5	 0.0033054	 0.0002487
none	 4000	 5300	 3	 -0.0622504	 0.0087230	 -0.0025877	 0.0004187	 541200	 26.5	 0.0001597	 0.0000073
shape	 4000	 5300	 3	 -0.0169593	 0.0019870	 0.0013270	 0.0001903	 1082400	 26.5	 0.0000369	 0.0000035
both	 4000	 5300	 3	 -0.0162078	 0.0017167	 0.0008044	 0.0001032	 1316800	 26.5	 0.0000373	 0.0000020
