shape (global)	 0.0000917	 0.0000002	 1.999962	 0.006489	 3.999847	 0.025954
both (global)	 0.0000617	 0.0000001	 2.971347	 0.009621	 8.828903	 0.057176
RM	 0.0001546	 0.0000007	 1.186932	 0.006292	 1.408807	 0.014937
no cancel	 0.0001318	 0.0000003	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0000829	 0.0000002	 1.589815	 0.005133	 2.527512	 0.016322
both (global)	 0.0000560	 0.0000001	 2.355188	 0.007667	 5.546912	 0.036115
RM	 0.0001280	 0.0000007	 1.029184	 0.005785	 1.059219	 0.011907
no cancel	 0.0001384	 0.0000003	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0001240	 0.0000003	 1.116417	 0.003612	 1.246387	 0.008066
both (global)	 0.0000879	 0.0000002	 1.574838	 0.005104	 2.480114	 0.016077
RM	 0.0001774	 0.0000009	 0.780434	 0.004426	 0.609078	 0.006909
no cancel	 0.0002655	 0.0000006	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0002503	 0.0000006	 1.060730	 0.003461	 1.125149	 0.007342
both (global)	 0.0001928	 0.0000004	 1.376960	 0.004467	 1.896018	 0.012303
RM	 0.0003470	 0.0000017	 0.765218	 0.004050	 0.585558	 0.006199
no cancel	 0.0000870	 0.0000002	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0000785	 0.0000002	 1.108680	 0.003624	 1.229171	 0.008037
both (global)	 0.0000566	 0.0000001	 1.537492	 0.004978	 2.363883	 0.015308
RM	 0.0001115	 0.0000006	 0.780086	 0.004696	 0.608535	 0.007327
no cancel	 0.0004841	 0.0000011	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0001010	 0.0000002	 4.791933	 0.015627	 22.962619	 0.149771
both (global)	 0.0000699	 0.0000002	 6.927018	 0.022568	 47.983577	 0.312662
RM	 0.0002122	 0.0000011	 2.280948	 0.013217	 5.202724	 0.060294
no cancel	 0.0003007	 0.0000007	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0000920	 0.0000002	 3.267537	 0.010661	 10.676797	 0.069667
both (global)	 0.0000631	 0.0000001	 4.764635	 0.015574	 22.701749	 0.148413
RM	 0.0001728	 0.0000008	 1.740156	 0.009112	 3.028143	 0.031714
no cancel	 0.0001923	 0.0000004	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0000798	 0.0000002	 2.410449	 0.007830	 5.810265	 0.037749
both (global)	 0.0000538	 0.0000001	 3.572489	 0.011639	 12.762680	 0.083157
RM	 0.0001346	 0.0000006	 1.428523	 0.007072	 2.040679	 0.020205
no cancel	 0.0001312	 0.0000003	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0000763	 0.0000002	 1.719661	 0.005626	 2.957234	 0.019350
both (global)	 0.0000504	 0.0000001	 2.602272	 0.008501	 6.771819	 0.044241
RM	 0.0001221	 0.0000005	 1.074645	 0.005342	 1.154862	 0.011482
no cancel	 0.0001447	 0.0000003	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0001252	 0.0000003	 1.155517	 0.003751	 1.335220	 0.008669
both (global)	 0.0000877	 0.0000002	 1.649841	 0.005333	 2.721974	 0.017597
RM	 0.0001681	 0.0000008	 0.860785	 0.004577	 0.740951	 0.007880
no cancel	 0.0002751	 0.0000006	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0002585	 0.0000006	 1.064382	 0.003473	 1.132908	 0.007393
both (global)	 0.0001931	 0.0000004	 1.424798	 0.004604	 2.030048	 0.013119
RM	 0.0003638	 0.0000018	 0.756300	 0.004149	 0.571990	 0.006276
no cancel	 0.0000878	 0.0000002	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0000792	 0.0000002	 1.107586	 0.003609	 1.226747	 0.007994
both (global)	 0.0000572	 0.0000001	 1.534778	 0.004986	 2.355543	 0.015305
RM	 0.0001119	 0.0000006	 0.783908	 0.004323	 0.614512	 0.006778
