no cancel	 0.0004616	 0.0000011	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0001559	 0.0000004	 2.962023	 0.009731	 8.773579	 0.057648
both (global)	 0.0001282	 0.0000003	 3.599632	 0.011832	 12.957352	 0.085185
RM	 0.0005364	 0.0000023	 0.860600	 0.004132	 0.740633	 0.007112
no cancel	 0.0002882	 0.0000007	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0001286	 0.0000003	 2.241582	 0.007319	 5.024688	 0.032814
both (global)	 0.0001036	 0.0000002	 2.782244	 0.009104	 7.740880	 0.050661
RM	 0.0004092	 0.0000016	 0.704279	 0.003173	 0.496009	 0.004469
no cancel	 0.0001921	 0.0000004	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0001021	 0.0000002	 1.882389	 0.006150	 3.543388	 0.023154
both (global)	 0.0000785	 0.0000002	 2.445919	 0.007983	 5.982522	 0.039051
RM	 0.0003302	 0.0000015	 0.581808	 0.002997	 0.338500	 0.003488
no cancel	 0.0001339	 0.0000003	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0000900	 0.0000002	 1.488284	 0.004880	 2.214988	 0.014524
both (global)	 0.0000646	 0.0000001	 2.074690	 0.006789	 4.304339	 0.028170
RM	 0.0002787	 0.0000014	 0.480505	 0.002659	 0.230885	 0.002555
no cancel	 0.0001422	 0.0000003	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0001223	 0.0000003	 1.162083	 0.003751	 1.350437	 0.008719
both (global)	 0.0000914	 0.0000002	 1.556254	 0.005024	 2.421928	 0.015637
RM	 0.0003557	 0.0000015	 0.399673	 0.001876	 0.159739	 0.001499
no cancel	 0.0002653	 0.0000006	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0002541	 0.0000006	 1.044118	 0.003410	 1.090182	 0.007120
both (global)	 0.0001981	 0.0000005	 1.339376	 0.004389	 1.793928	 0.011758
RM	 0.0006676	 0.0000031	 0.397380	 0.002069	 0.157911	 0.001645
no cancel	 0.0000871	 0.0000002	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0000786	 0.0000002	 1.107397	 0.003608	 1.226329	 0.007990
both (global)	 0.0000597	 0.0000001	 1.459227	 0.004760	 2.129343	 0.013893
RM	 0.0002242	 0.0000011	 0.388371	 0.002110	 0.150832	 0.001639
no cancel	 0.0004969	 0.0000011	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0001275	 0.0000003	 3.897975	 0.012717	 15.194207	 0.099139
both (global)	 0.0001091	 0.0000003	 4.556384	 0.014904	 20.760633	 0.135819
RM	 0.0004608	 0.0000023	 1.078441	 0.005834	 1.163035	 0.012582
no cancel	 0.0003007	 0.0000007	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0001080	 0.0000002	 2.783593	 0.009071	 7.748389	 0.050498
both (global)	 0.0000883	 0.0000002	 3.403526	 0.011081	 11.583992	 0.075427
RM	 0.0003452	 0.0000019	 0.870972	 0.005091	 0.758592	 0.008869
no cancel	 0.0001941	 0.0000004	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0000898	 0.0000002	 2.162518	 0.006976	 4.676483	 0.030171
both (global)	 0.0000707	 0.0000002	 2.743907	 0.008930	 7.529027	 0.049006
RM	 0.0003120	 0.0000016	 0.622089	 0.003505	 0.386994	 0.004361
no cancel	 0.0001368	 0.0000003	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0000808	 0.0000002	 1.692023	 0.005552	 2.862941	 0.018788
both (global)	 0.0000588	 0.0000001	 2.326426	 0.007612	 5.412258	 0.035417
RM	 0.0002868	 0.0000016	 0.476893	 0.002825	 0.227427	 0.002694
no cancel	 0.0001481	 0.0000003	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0001239	 0.0000003	 1.195528	 0.003860	 1.429286	 0.009229
both (global)	 0.0000904	 0.0000002	 1.638174	 0.005308	 2.683614	 0.017391
