no cancel	 0.0369679	 0.0000859	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0118078	 0.0000271	 3.130794	 0.010234	 9.801869	 0.064080
both (global)	 0.0095909	 0.0000225	 3.854478	 0.012729	 14.856998	 0.098130
RM	 0.0036054	 0.0000174	 10.253466	 0.054989	 105.133562	 1.127660
no cancel	 0.0236620	 0.0000545	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0101541	 0.0000236	 2.330293	 0.007627	 5.430265	 0.035548
both (global)	 0.0079608	 0.0000182	 2.972292	 0.009643	 8.834517	 0.057323
RM	 0.0027308	 0.0000128	 8.664879	 0.045235	 75.080129	 0.783903
no cancel	 0.0154456	 0.0000357	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0082060	 0.0000191	 1.882217	 0.006181	 3.542740	 0.023269
both (global)	 0.0061836	 0.0000143	 2.497824	 0.008182	 6.239123	 0.040875
RM	 0.0021831	 0.0000094	 7.075062	 0.034470	 50.056495	 0.487755
no cancel	 0.0109641	 0.0000251	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0073347	 0.0000168	 1.494813	 0.004848	 2.234466	 0.014495
both (global)	 0.0052394	 0.0000120	 2.092607	 0.006787	 4.379002	 0.028407
RM	 0.0017171	 0.0000082	 6.385127	 0.033889	 40.769850	 0.432777
no cancel	 0.0118514	 0.0000273	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0104518	 0.0000240	 1.133904	 0.003690	 1.285738	 0.008368
both (global)	 0.0073786	 0.0000168	 1.606181	 0.005207	 2.579816	 0.016726
RM	 0.0028444	 0.0000143	 4.166595	 0.023018	 17.360517	 0.191814
no cancel	 0.0221356	 0.0000512	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0213710	 0.0000491	 1.035778	 0.003377	 1.072836	 0.006996
both (global)	 0.0160055	 0.0000367	 1.382994	 0.004506	 1.912672	 0.012465
RM	 0.0066223	 0.0000346	 3.342589	 0.019093	 11.172903	 0.127639
no cancel	 0.0072282	 0.0000165	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0064939	 0.0000147	 1.113067	 0.003576	 1.238919	 0.007961
both (global)	 0.0047287	 0.0000107	 1.528584	 0.004907	 2.336570	 0.015002
RM	 0.0018673	 0.0000089	 3.870989	 0.020369	 14.984554	 0.157697
no cancel	 0.0403866	 0.0000920	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0096086	 0.0000220	 4.203157	 0.013579	 17.666528	 0.114148
both (global)	 0.0077307	 0.0000177	 5.224201	 0.016856	 27.292280	 0.176122
RM	 0.0029559	 0.0000137	 13.663269	 0.070763	 186.684909	 1.933700
no cancel	 0.0246445	 0.0000559	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0085386	 0.0000196	 2.886256	 0.009311	 8.330474	 0.053748
both (global)	 0.0069609	 0.0000158	 3.540428	 0.011368	 12.534630	 0.080498
RM	 0.0023013	 0.0000116	 10.708719	 0.059098	 114.676655	 1.265731
no cancel	 0.0159289	 0.0000372	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0068901	 0.0000157	 2.311849	 0.007546	 5.344645	 0.034890
both (global)	 0.0055657	 0.0000128	 2.862006	 0.009385	 8.191076	 0.053720
RM	 0.0018973	 0.0000089	 8.395410	 0.043923	 70.482915	 0.737498
no cancel	 0.0109660	 0.0000251	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0066076	 0.0000152	 1.659599	 0.005394	 2.754267	 0.017905
both (global)	 0.0046454	 0.0000106	 2.360615	 0.007623	 5.572505	 0.035990
RM	 0.0015871	 0.0000076	 6.909525	 0.036554	 47.741539	 0.505148
no cancel	 0.0120768	 0.0000275	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0102208	 0.0000235	 1.181586	 0.003829	 1.396146	 0.009049
both (global)	 0.0071758	 0.0000165	 1.682987	 0.005448	 2.832444	 0.018339
RM	 0.0027352	 0.0000142	 4.415399	 0.025045	 19.495745	 0.221169
no cancel	 0.0225416	 0.0000516	 0.000000	 0.000000	 0.000000	 0.000000
